 ***** DATA CARD NO.  5   RP   0   181 1  1003 0 0  1.0  0.0                                                 - - - RADIATION PATTERNS - - -

  - - ANGLES - -           - POWER GAINS -       - - - POLARIZATION - - -    - - - E(THETA) - - -    - - - E(PHI) - - -
  THETA     PHI        VERT.   HOR.    TOTAL      AXIAL     TILT   SENSE     MAGNITUDE    PHASE      MAGNITUDE    PHASE 
 DEGREES  DEGREES       DB      DB      DB        RATIO     DEG.              VOLTS/M    DEGREES      VOLTS/M    DEGREES
    0.00     0.00    -999.00 -999.00    -inf        inf     0.00 Linear     0.00000e+00     0.00    0.00000e+00     0.00
    1.00     0.00    -117.15 -999.00 -117.15    0.00000     0.00 LHCP       1.38835e-06    91.35    0.00000e+00     0.00
    2.00     0.00    -111.13 -999.00 -111.13    0.00000     0.00 LHCP       2.77636e-06    91.35    0.00000e+00     0.00
    3.00     0.00    -107.61 -999.00 -107.61    0.00000     0.00 LHCP       4.16372e-06    91.35    0.00000e+00     0.00
    4.00     0.00    -105.11 -999.00 -105.11    0.00000     0.00 LHCP       5.55010e-06    91.35    0.00000e+00     0.00
    5.00     0.00    -103.18 -999.00 -103.18    0.00000     0.00 LHCP       6.93516e-06    91.34    0.00000e+00     0.00
    6.00     0.00    -101.60 -999.00 -101.60    0.00000     0.00 LHCP       8.31857e-06    91.34    0.00000e+00     0.00
    7.00     0.00    -100.26 -999.00 -100.26    0.00000     0.00 LHCP       9.70000e-06    91.34    0.00000e+00     0.00
    8.00     0.00     -99.11 -999.00  -99.11    0.00000     0.00 LHCP       1.10791e-05    91.33    0.00000e+00     0.00
    9.00     0.00     -98.09 -999.00  -98.09    0.00000     0.00 LHCP       1.24556e-05    91.33    0.00000e+00     0.00
   10.00     0.00     -97.18 -999.00  -97.18    0.00000     0.00 LHCP       1.38290e-05    91.33    0.00000e+00     0.00
   11.00     0.00     -96.36 -999.00  -96.36    0.00000     0.00 LHCP       1.51992e-05    91.32    0.00000e+00     0.00
   12.00     0.00     -95.62 -999.00  -95.62    0.00000     0.00 LHCP       1.65656e-05    91.31    0.00000e+00     0.00
   13.00     0.00     -94.93 -999.00  -94.93    0.00000     0.00 LHCP       1.79280e-05    91.31    0.00000e+00     0.00
   14.00     0.00     -94.30 -999.00  -94.30    0.00000     0.00 LHCP       1.92860e-05    91.30    0.00000e+00     0.00
   15.00     0.00     -93.71 -999.00  -93.71    0.00000     0.00 LHCP       2.06393e-05    91.29    0.00000e+00     0.00
   16.00     0.00     -93.16 -999.00  -93.16    0.00000     0.00 LHCP       2.19874e-05    91.28    0.00000e+00     0.00
   17.00     0.00     -92.64 -999.00  -92.64    0.00000     0.00 LHCP       2.33301e-05    91.27    0.00000e+00     0.00
   18.00     0.00     -92.16 -999.00  -92.16    0.00000     0.00 LHCP       2.46669e-05    91.26    0.00000e+00     0.00
   19.00     0.00     -91.70 -999.00  -91.70    0.00000     0.00 LHCP       2.59974e-05    91.25    0.00000e+00     0.00
   20.00     0.00     -91.27 -999.00  -91.27    0.00000     0.00 LHCP       2.73213e-05    91.24    0.00000e+00     0.00
   21.00     0.00     -90.86 -999.00  -90.86    0.00000     0.00 LHCP       2.86382e-05    91.22    0.00000e+00     0.00
   22.00     0.00     -90.47 -999.00  -90.47    0.00000     0.00 LHCP       2.99476e-05    91.21    0.00000e+00     0.00
   23.00     0.00     -90.10 -999.00  -90.10    0.00000     0.00 LHCP       3.12492e-05    91.19    0.00000e+00     0.00
   24.00     0.00     -89.75 -999.00  -89.75    0.00000     0.00 LHCP       3.25426e-05    91.18    0.00000e+00     0.00
   25.00     0.00     -89.41 -999.00  -89.41    0.00000     0.00 LHCP       3.38272e-05    91.16    0.00000e+00     0.00
   26.00     0.00     -89.09 -999.00  -89.09    0.00000     0.00 LHCP       3.51027e-05    91.14    0.00000e+00     0.00
   27.00     0.00     -88.79 -999.00  -88.79    0.00000     0.00 LHCP       3.63686e-05    91.12    0.00000e+00     0.00
   28.00     0.00     -88.49 -999.00  -88.49    0.00000     0.00 LHCP       3.76245e-05    91.10    0.00000e+00     0.00
   29.00     0.00     -88.21 -999.00  -88.21    0.00000     0.00 LHCP       3.88700e-05    91.08    0.00000e+00     0.00
   30.00     0.00     -87.94 -999.00  -87.94    0.00000     0.00 LHCP       4.01044e-05    91.05    0.00000e+00     0.00
   31.00     0.00     -87.68 -999.00  -87.68    0.00000     0.00 LHCP       4.13275e-05    91.03    0.00000e+00     0.00
   32.00     0.00     -87.42 -999.00  -87.42    0.00000     0.00 LHCP       4.25386e-05    91.00    0.00000e+00     0.00
   33.00     0.00     -87.18 -999.00  -87.18    0.00000     0.00 LHCP       4.37373e-05    90.97    0.00000e+00     0.00
   34.00     0.00     -86.95 -999.00  -86.95    0.00000     0.00 LHCP       4.49232e-05    90.94    0.00000e+00     0.00
   35.00     0.00     -86.73 -999.00  -86.73    0.00000     0.00 LHCP       4.60956e-05    90.91    0.00000e+00     0.00
   36.00     0.00     -86.51 -999.00  -86.51    0.00000     0.00 LHCP       4.72542e-05    90.88    0.00000e+00     0.00
   37.00     0.00     -86.30 -999.00  -86.30    0.00000     0.00 LHCP       4.83983e-05    90.85    0.00000e+00     0.00
   38.00     0.00     -86.10 -999.00  -86.10    0.00000     0.00 LHCP       4.95275e-05    90.82    0.00000e+00     0.00
   39.00     0.00     -85.91 -999.00  -85.91    0.00000     0.00 LHCP       5.06412e-05    90.78    0.00000e+00     0.00
   40.00     0.00     -85.72 -999.00  -85.72    0.00000     0.00 LHCP       5.17389e-05    90.75    0.00000e+00     0.00
   41.00     0.00     -85.54 -999.00  -85.54    0.00000     0.00 LHCP       5.28202e-05    90.71    0.00000e+00     0.00
   42.00     0.00     -85.37 -999.00  -85.37    0.00000     0.00 LHCP       5.38845e-05    90.67    0.00000e+00     0.00
   43.00     0.00     -85.20 -999.00  -85.20    0.00000     0.00 LHCP       5.49313e-05    90.63    0.00000e+00     0.00
   44.00     0.00     -85.04 -999.00  -85.04    0.00000     0.00 LHCP       5.59600e-05    90.60    0.00000e+00     0.00
   45.00     0.00     -84.89 -999.00  -84.89    0.00000     0.00 LHCP       5.69702e-05    90.56    0.00000e+00     0.00
