
Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    l_mm    

1-0     19.06   2.92    0.08    0.08    2.9398  17.342  82.12   200     
1-1     18.525  2.86    0.08    0.08    2.9804  16.118  82.37   202.5   
1-2     18.025  2.79    0.07    0.07    3.0217  14.918  82.62   205     
1-3     17.557  2.73    0.08    0.08    3.0638  13.742  82.87   207.5   
1-4     17.119  2.67    0.08    0.08    3.1065  12.589  83.11   210     
1-5     16.71   2.61    0.08    0.08    3.1499  11.459  83.35   212.5   
1-6     16.328  2.54    0.08    0.08    3.194   10.35   83.58   215     
1-7     15.971  2.48    0.08    0.08    3.2386  9.2623  83.81   217.5   
1-8     15.638  2.42    0.08    0.08    3.2837  8.1942  84.04   220     
1-9     15.327  2.36    0.09    0.09    3.3292  7.1446  84.26   222.5   
1-10    15.037  2.29    0.08    0.08    3.375   6.1126  84.48   225     
1-11    14.769  2.23    0.08    0.08    3.4209  5.0966  84.69   227.5   
1-12    14.52   2.17    0.08    0.08    3.4668  4.0951  84.89   230     
1-13    14.29   2.11    0.08    0.08    3.5124  3.1063  85.09   232.5   
1-14    14.08   2.05    0.08    0.08    3.5576  2.1282  85.28   235     
1-15    13.889  2       0.09    0.09    3.6019  1.1587  85.47   237.5   
1-16    13.718  1.94    0.08    0.08    3.645   0.1952  85.64   240     
1-17    13.566  1.89    0.09    0.09    3.6866  -0.765  85.81   242.5   
1-18    13.435  1.85    0.1     0.1     3.7261  -1.725  85.96   245     
1-19    13.326  1.8     0.09    0.09    3.7631  -2.687  86.1    247.5   
1-20    13.239  1.76    0.09    0.09    3.797   -3.655  86.23   250     
1-21    13.177  1.72    0.09    0.09    3.8273  -4.632  86.34   252.5   
1-22    13.141  1.69    0.09    0.09    3.8534  -5.621  86.44   255     
1-23    13.132  1.67    0.1     0.1     3.8747  -6.625  86.52   257.5   
1-24    13.153  1.65    0.1     0.1     3.8909  -7.645  86.58   260     
1-25    13.205  1.63    0.09    0.09    3.9015  -8.684  86.62   262.5   
1-26    13.288  1.63    0.1     0.1     3.9064  -9.741  86.64   265     
1-27    13.405  1.63    0.1     0.1     3.9055  -10.82  86.65   267.5   
1-28    13.555  1.64    0.1     0.1     3.899   -11.91  86.63   270     
1-29    13.737  1.65    0.1     0.1     3.8875  -13.01  86.59   272.5   
1-30    13.95   1.67    0.1     0.1     3.8715  -14.12  86.54   275     
1-31    14.192  1.69    0.1     0.1     3.8518  -15.23  86.48   277.5   
1-32    14.457  1.72    0.1     0.1     3.8296  -16.34  86.4    280     
1-33    14.742  1.74    0.09    0.09    3.806   -17.43  86.32   282.5   
1-34    15.041  1.77    0.09    0.09    3.7821  -18.51  86.23   285     
1-35    15.347  1.8     0.09    0.09    3.759   -19.56  86.14   287.5   
1-36    15.655  1.83    0.1     0.1     3.7377  -20.58  86.06   290     
1-37    15.957  1.85    0.09    0.09    3.7193  -21.57  85.98   292.5   
1-38    16.249  1.87    0.1     0.1     3.7043  -22.52  85.92   295     
1-39    16.524  1.88    0.09    0.09    3.6934  -23.43  85.87   297.5   
1-40    16.779  1.89    0.09    0.09    3.6869  -24.3   85.84   300     
